"state","min_binge_drinking"
"Alabama",8.6
"Alaska",14.6
"Arizona",14.9
"Arkansas",12.1
"California",15
"Colorado",9.2
"Connecticut",18.2
"Delaware",17.5
"Florida",12.1
"Georgia",10.4
"Hawaii",19.7
"Idaho",5.9
"Illinois",14.7
"Indiana",14.1
"Iowa",20.4
"Kansas",14.2
"Kentucky",8.5
"Louisiana",11.5
"Maine",18.2
"Maryland",14.8
"Massachusetts",20.5
"Michigan",18.5
"Minnesota",19.7
"Mississippi",9
"Missouri",13.5
"Montana",18.2
"Nebraska",16.3
"Nevada",16.2
"New Hampshire",18.7
"New Jersey",16
"New Mexico",12.4
"New York",16.1
"North Carolina",10.8
"North Dakota",20.9
"Ohio",13.7
"Oklahoma",11
"Oregon",15.1
"Pennsylvania",14.6
"Rhode Island",19.4
"South Carolina",11.9
"South Dakota",17.4
"Tennessee",7.1
"Texas",10.8
"Utah",6.5
"Vermont",19.4
"Virginia",9.1
"Washington",14.7
"West Virginia",9
"Wisconsin",23.2
"Wyoming",14.4
