"state","state_both_mean","state_male_mean","state_female_mean","state_difference_mean"
"Alabama",37.85,46.77,29.24,17.53
"Alaska",55.04,60.98,49.31,11.68
"Arizona",51.06,57.77,44.58,13.2
"Arkansas",39.52,48.83,30.54,18.28
"California",57.94,64.62,51.51,13.12
"Colorado",61.2,67.9,54.73,13.16
"Connecticut",65.92,71.3,60.74,10.56
"Delaware",56.9,63.33,50.7,12.62
"District Of Columbia",65.1,72.1,58.3,13.8
"Florida",52.64,59.74,45.8,13.94
"Georgia",41.24,49.39,33.39,16
"Hawaii",54.92,63.5,46.66,16.84
"Idaho",45.98,51.91,40.27,11.63
"Illinois",53.45,60.61,46.54,14.07
"Indiana",48.99,57.35,40.94,16.41
"Iowa",59.97,68.53,51.72,16.81
"Kansas",50.32,59.57,41.38,18.2
"Kentucky",34.84,43.03,26.94,16.09
"Louisiana",45.67,55,36.67,18.33
"Maine",61.59,67.93,55.49,12.44
"Maryland",57.55,64.08,51.23,12.85
"Massachusetts",66.42,71.65,61.36,10.29
"Michigan",58.62,64.83,52.64,12.19
"Minnesota",63.02,70.18,56.12,14.06
"Mississippi",38.3,47.4,29.52,17.87
"Missouri",46.64,55.45,38.13,17.31
"Montana",60.52,66.33,54.93,11.41
"Nebraska",59.18,68.44,50.24,18.19
"Nevada",57.21,64.43,50.25,14.18
"New Hampshire",66.76,72.57,61.16,11.41
"New Jersey",61.61,67.88,55.54,12.34
"New Mexico",45.41,53.3,37.76,15.54
"New York",61.22,67.38,55.28,12.11
"North Carolina",42.95,51.43,34.78,16.65
"North Dakota",62.96,71.76,54.48,17.27
"Ohio",51.65,59.57,44,15.57
"Oklahoma",41.78,50.6,33.26,17.35
"Oregon",59.71,65.36,54.25,11.11
"Pennsylvania",56.51,64.59,48.71,15.88
"Rhode Island",68.02,73.42,62.85,10.57
"South Carolina",44.29,53.8,35.13,18.66
"South Dakota",57.19,65.64,49.04,16.6
"Tennessee",33.92,41.55,26.56,14.99
"Texas",45.47,55.18,36.1,19.09
"Utah",26.62,31.51,21.89,9.62
"Vermont",67.45,73.43,61.7,11.73
"Virginia",48.08,56.35,40.1,16.25
"Washington",59.52,65.32,53.95,11.37
"West Virginia",33.21,42.65,24.1,18.55
"Wisconsin",66.13,71.1,61.33,9.77
"Wyoming",57.73,64.86,50.83,14.04
