"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"California",1,2100,2100,2000,1995,1950,1950,2000,2000,1700,1695,1695,1750,1595,1626,1600,1650,1675,1650,1600,1600,1595,1550,1500,1500,1500,1500,1560,1533,1500,1527,1505,1550,1580,1565,1555,1530,1505,1550,1565,1547,1550,1510,1545,1535,1630,1645,1535,1695,1700,1645,1609,1679,1795,1800,1800,1800,1850,1895,1895,1910,1920,1950,1965,2000,2000,2025,2045,2085,2100,2100,2150,2150,2169,2195,2205,2200,2200,2197.5,2240,2185.5,2250,2115,2195,2150,2200,2295,2310,2350,2350,2350,2370,2350,2350,2335,2300,2300,2300,2325,2344,2395,2400,2400,2440,2450,2400,2400,2425,2415,2400
"Texas",2,,,995,1037.5,950,995,950,995,900,920,925,900,948.5,935,950,925,925,950,930,925,900,895,900,934,950,970,990,950,962,970,969,1000,1015,900,1006,1040,1036,995,1025,1044,1055,1050,1075,1040,1100,1129,1150,1139,1155,1110,1105,1150,1130,1135,1115,1119,1118.5,1121,1120,1115,1125,1125,1127,1169,1174,1190,1179,1189,1185,1180,1250,1249,1250,1246,1288,1265,1257,1254,1245,1239,1264,1200,1200,1169,1230,1250,1265,1300,1330,1345,1342,1329,1329.5,1300,1315,1325,1309,1350,1376,1395,1400,1399,1405,1407,1399,1417,1415,1405,1407
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2565,2500,2500,2500,2500,2500,2500,2550,2600,2595,2500,2500,2500,2500,2495,2450,2400,2450,2499,2500,2525,2550,2550,2550,2600,2600,2595,2400,2400,2350,2375,2400,2400,2450,2450,2450,2399,2339,2300,2300,2300,2295,2300,2399,2450,2450,2475,2450,2400,2350,2300,2300,2300
"Florida",4,,,,,,,,,,,,,,1350,1350,1350,1300,1300,1300,1295,1300,1250,1250,1250,1200,1250,1250,1250,1250,1250,1250,1250,1220,1200,1200,1200,1176,1200,1200,1200,1200,1225,1300,1300,1346.5,1350,1400,1400,1375,1350,1300,1300,1350,1350,1350,1350,1375,1375,1350,1350,1335,1360,1395,1375,1400,1400,1500,1500,1500,1500,1545,1550,1550,1583.5,1600,1550,1500,1500,1495,1500,1500,1500,1600,1460,1500,1500,1550,1553,1563.5,1570,1590,1600,1600,1600,1608,1629,1605,1625,1650,1660,1650,1650,1656,1670,1675,1675,1670,1675,1660
"Illinois",5,,,1347.5,1350,1350,1400,1400,1375,1350,1400,1395,1450,1425,1495,1500,1550,1575,1650,1600,1595,1600,1525,1475,1490,1475,1450,1425,1395,1405,1495,1465,1470,1468,1495,1420,1450,1425,1500,1490,1495,1558,1600,1625,1648,1620,1550,1550,1620,1500,1450,1499,1500,1585,1595,1650,1585,1650,1600,1550,1450,1457,1575,1500,1553,1575,1550,1550,1550,1595,1550,1600,1542.5,1500,1600,1545,1550,1595,1595,1585,1550,1500,1495,1450,1495,1500,1500,1500,1550,1590,1595,1585,1550,1545,1500,1500,1500,1510,1550,1600,1650,1650,1675,1650,1650,1695,1627,1636,1650,1675
"Pennsylvania",6,,,1200,1200,1200,1200,1297.5,1325,1200,1150,1186,1100,1087.5,1050,1050,1100,1095,1061,1050,1095,1070,1005,1050,1076,1100,1125,1150,1192.5,1200,1200,1185,1150,1103,1100,1095,1050,1025,1050,1095,1100,1175,1195,1105,1100,1100,1050,1050,1075,1050,1050,1050,1100,1175,1175,1150,1100,1100,1095,1090,1095,1100,1100,1160,1195,1200,1200,1195,1150,1100,1100,1150,1132.5,1195,1199,1200,1210,1250,1200,1200,1195,1140,1150,1100,1120,1150,1195,1200,1250,1255,1250,1250,1250,1250,1232,1214,1200,1200,1205,1250,1299,1300,1300,1300,1280,1250,1270,1280,1295,1295
"Ohio",7,,,825,850,850,825,850,809,677,695,684,699,675,675,665,725,735,700,709,709.5,709,695,710,725,750,734.5,725,695,685,690,680,700,700,705,725,700,686,699,705,700,700,700,689,685,700,700,675,749.5,700,700,700,710,725,720,700,705,739.5,762.5,795,780,775,800,825,840,850,825,810,805,800,803,850,850,839,826,850,875,874,850,850,850,850,850,825,825,850,850,887.5,899,895,894,895,875,875,875,875,872,875,885.5,900,929,939,930,934,935,919.5,940,925,911,909
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,700,720,749,749,750,775,775,749,740,750,775,775,775,719,695,749,764.5,743,753.5,750,750,750,850,850,850,875,850,850,850,850,912.5,900,900,900,900,925,900,900,900,900,925,950,950,975,900,900,925,950,975,965,950,925,950,975,968,929,1000,990,950,975,1025,956.5,965,975,999,1000,995,1000,1004,1000,1025,1015,1000,997,999,1000,1065,1100,1085,1070,1070,1060,1079.5,1100,1100,1060,1039.5
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,1095,1104.5,1135,1050,1081,1075,1100,1115,1014,1050,1040,1110,1140,1175,1200,1241,1235,1250,1250,1255,1250,1260,1260,1269,1300,1325,1365,1385,1398,1395,1414,1379,1445,1435,1420,1425
"North Carolina",10,,800,800,800,800,800,825,800,825,825,800,825,750,775,775,775,750,765,769,765,750,750,750,750,750,775,795,795,785,775,780,800,795,795,795,775,780,800,825,828,825,800,805,795,775,775,757,775,780,775,775,795,800,800,800,800,795,799,800,800,800,800,825,850,850,850,850,850,850,850,945,925,930,925,995,989,995,982,997,1039,1065,975,975,950,1000,995,1000,1050,1100,1109,1135,1120,1118,1103,1120.5,1104,1104,1159,1175,1200,1225,1218,1203,1226,1212,1225,1244,1219,1215
